Nome da Empresa,URL,Plataforma,Status da URL,Data de Entrada,Segmento da Empresa
Guanabara,https://guanabara.gupy.io,Gupy,1,2026-02-19,Estratégico
HBR Realty,https://hbrrealty.gupy.io,Gupy,1,2026-02-19,Estratégico
HDI Seguros,https://hdiseguros.gupy.io,Gupy,1,2026-02-19,Estratégico
Hashdex,https://trabalheconosco.vagas.com.br/hashdex,Vagas,1,2026-02-19,Estratégico
Helbor,https://helbor.gupy.io,Gupy,1,2026-02-19,Estratégico
Hidrovias do Brasil,https://trabalheconosco.vagas.com.br/hidroviasdobrasil,Vagas,1,2026-02-19,Estratégico
Hinode,https://trabalheconosco.vagas.com.br/hinode,Vagas,1,2026-02-19,Estratégico
Hospital Care,https://hospitalcare.gupy.io,Gupy,1,2026-02-19,Estratégico
Icatu Seguros,https://trabalheconosco.vagas.com.br/icatuseguros,Vagas,1,2026-02-19,Estratégico
Iguatemi,https://trabalheconosco.vagas.com.br/iguatemi,Vagas,1,2026-02-19,Estratégico
Infracommerce,https://trabalheconosco.vagas.com.br/infracommerce,Vagas,1,2026-02-19,Estratégico
Intelipost,https://intelipost.gupy.io,Gupy,1,2026-02-19,Estratégico
Irani Papel e Embalagem,https://trabalheconosco.vagas.com.br/iranipapeleembalagem,Vagas,1,2026-02-19,Estratégico
Isa CTEEP,https://trabalheconosco.vagas.com.br/isacteep,Vagas,1,2026-02-19,Estratégico
Itambé,https://trabalheconosco.vagas.com.br/itamb,Vagas,1,2026-02-19,Estratégico
Itapemirim (Nova Itapemirim),https://trabalheconosco.vagas.com.br/itapemirim,Vagas,1,2026-02-19,Estratégico
Itaú Unibanco,https://trabalheconosco.vagas.com.br/itaunibanco,Vagas,1,2026-02-19,Estratégico
JSL,https://jsl.gupy.io,Gupy,1,2026-02-19,Estratégico
James Delivery,https://trabalheconosco.vagas.com.br/jamesdelivery,Vagas,1,2026-02-19,Estratégico
Jequiti,https://jequiti.gupy.io,Gupy,1,2026-02-19,Estratégico
João Fortes,https://trabalheconosco.vagas.com.br/joofortes,Vagas,1,2026-02-19,Estratégico
Jungle,https://trabalheconosco.vagas.com.br/jungle,Vagas,1,2026-02-19,Estratégico
Kalunga,https://trabalheconosco.vagas.com.br/kalunga,Vagas,1,2026-02-19,Estratégico
Kangu,https://trabalheconosco.vagas.com.br/kangu,Vagas,1,2026-02-19,Estratégico
Kepler Weber,https://trabalheconosco.vagas.com.br/keplerweber,Vagas,1,2026-02-19,Estratégico
Kora Saúde,https://trabalheconosco.vagas.com.br/korasade,Vagas,1,2026-02-19,Estratégico
Lalamove Brasil,https://trabalheconosco.vagas.com.br/lalamovebrasil,Vagas,1,2026-02-19,Estratégico
Lavvi,https://trabalheconosco.vagas.com.br/lavvi,Vagas,1,2026-02-19,Estratégico
Levo,https://trabalheconosco.vagas.com.br/levo,Vagas,1,2026-02-19,Estratégico
