Nome da Empresa,Segmento da Empresa,score,b3,top,source
Renova Energia,Energia e Utilities,5,True,False,brapi_quote_list
Renv11,Financeiro,5,True,False,brapi_quote_list
Revee,Serviços e Outros,5,True,False,brapi_quote_list
Riaa3,Varejo e Consumo,5,True,False,brapi_quote_list
Riaa3F,Varejo e Consumo,5,True,False,brapi_quote_list
Rio Paranapanema Energia,Energia e Utilities,5,True,False,brapi_quote_list
Sansuy S.A. Industria De Plasticos,Indústria,5,True,False,brapi_quote_list
Sao Carlos Empreend E Participacoes,Financeiro,5,True,False,brapi_quote_list
Saud3,Saúde,5,True,False,brapi_quote_list
Saud3F,Saúde,5,True,False,brapi_quote_list
Sendas,Varejo e Consumo,5,True,False,company_seeds_data
Sendas Distribuidora,Varejo e Consumo,5,True,False,brapi_quote_list
Sequoia Logistica E Transportes,Logística e Mobilidade,5,True,False,brapi_quote_list
Sicoob,Financeiro,5,True,False,company_seeds_data
Smartfit Escola De Ginástica E Dança,Varejo e Consumo,5,True,False,brapi_quote_list
Snci11,Financeiro,5,True,False,brapi_quote_list
Sondotecnica Engenharia Solos,Indústria,5,True,False,brapi_quote_list
Syn Prop E Tech,Financeiro,5,True,False,brapi_quote_list
T4F Entretenimento,Varejo e Consumo,5,True,False,brapi_quote_list
Taurus Armas,Tecnologia,5,True,False,brapi_quote_list
Technos,Varejo e Consumo,5,True,False,brapi_quote_list
Tegma Gestao Logistica,Logística e Mobilidade,5,True,False,brapi_quote_list
Telec Brasileiras S.A. Telebras,Energia e Utilities,5,True,False,brapi_quote_list
Telefônica Brasil,Mídia e Entretenimento,5,True,False,company_seeds_data
Tereos,Agro e Alimentos,5,True,False,company_seeds_data
Terra Santa Propriedades Agricolas,Financeiro,5,True,False,brapi_quote_list
Textil Renauxview,Indústria,5,True,False,brapi_quote_list
Toky3,Tecnologia,5,True,False,brapi_quote_list
Toky3F,Tecnologia,5,True,False,brapi_quote_list
Tpi - Triunfo Particip. E Invest.,Logística e Mobilidade,5,True,False,brapi_quote_list
Track & Field Co,Varejo e Consumo,5,True,False,brapi_quote_list
Transmissora Aliança De Energia Elétrica,Indústria,5,True,False,brapi_quote_list
Transmissão Paulista,Energia e Utilities,5,True,False,company_seeds_data
Trevisa Investimentos,Logística e Mobilidade,5,True,False,brapi_quote_list
Tronox Pigmentos Do Brasil,Indústria,5,True,False,brapi_quote_list
Três Tentos Agroindustrial S/A,Serviços e Outros,5,True,False,brapi_quote_list
Ultrapar Participacoes,Varejo e Consumo,5,True,False,brapi_quote_list
Unicasa Indústria De Móveis,Varejo e Consumo,5,True,False,brapi_quote_list
Unifique Telecomunicações,Energia e Utilities,5,True,False,brapi_quote_list
União Pet Participações,Indústria,5,True,False,brapi_quote_list
Usinas Sid De Minas Gerais S.A.-Usiminas,Indústria,5,True,False,brapi_quote_list
Valid Soluções,Serviços e Outros,5,True,False,brapi_quote_list
Vamos Locação De Caminhões. Máquinas E Equip.,Financeiro,5,True,False,brapi_quote_list
Veste S.A. Estilo,Varejo e Consumo,5,True,False,brapi_quote_list
Vgir11,Serviços e Outros,5,True,False,brapi_quote_list
Via,Varejo e Consumo,5,True,False,company_seeds_data
Vibra,Energia e Utilities,5,True,False,company_seeds_data
Vitru Educação,Serviços e Outros,5,True,False,brapi_quote_list
Vittia,Indústria,5,True,False,brapi_quote_list
Vivara Participaçoes,Varejo e Consumo,5,True,False,brapi_quote_list
Viver Incorporadora E Construtora,Varejo e Consumo,5,True,False,brapi_quote_list
Wdcn3,Varejo e Consumo,5,True,False,brapi_quote_list
Wdcn3F,Varejo e Consumo,5,True,False,brapi_quote_list
Westwing Comercio Varejista,Varejo e Consumo,5,True,False,brapi_quote_list
Wetzel,Indústria,5,True,False,brapi_quote_list
Whirlpool,Varejo e Consumo,5,True,False,brapi_quote_list
Wiz Co Participações E Corretagem De Seguros,Financeiro,5,True,False,brapi_quote_list
Wlm Part. E Comércio De Máquinas E Veículos,Varejo e Consumo,5,True,False,brapi_quote_list
Yara Brasil,Indústria,5,True,False,company_seeds_data
Yduqs Participacoes,Serviços e Outros,5,True,False,brapi_quote_list
BRQ,Tecnologia,4,False,True,company_seeds_data
Bernoulli,Educação,4,False,True,company_seeds_data
BrMalls,Varejo e Consumo,4,False,True,associations_extra
Brookfield Brasil,Construção e Imóveis,4,False,True,company_seeds_data
CCR Rio,Serviços e Outros,4,False,True,company_seeds_data
CPTM,Serviços e Outros,4,False,True,associations_extra
Chubb,Financeiro,4,False,True,associations_extra
Coca-Cola Brasil,Agro e Alimentos,4,False,True,company_seeds_data
Comgás,Energia e Utilities,4,False,True,company_seeds_data
Cooperativa Santa Clara,Varejo e Consumo,4,False,True,company_seeds_data
DHL Brasil,Logística e Mobilidade,4,False,True,company_seeds_data
Enel Brasil,Energia e Utilities,4,False,True,company_seeds_data
Estácio,Educação,4,False,True,company_seeds_data
Grupo Pão de Açúcar,Varejo e Consumo,4,False,True,company_seeds_data
Grupo São Francisco,Saúde,4,False,True,company_seeds_data
Infraero,Serviços e Outros,4,False,True,associations_extra
Kroton,Educação,4,False,True,company_seeds_data
MetLife,Financeiro,4,False,True,associations_extra
Metrô São Paulo,Serviços e Outros,4,False,True,associations_extra
Mongeral Aegon,Financeiro,4,False,True,company_seeds_data
O Boticário,Varejo e Consumo,4,False,True,company_seeds_data
Porto Seguro,Financeiro,4,False,True,company_seeds_data
PwC Brasil,Serviços e Outros,4,False,True,company_seeds_data
UOL,Mídia e Entretenimento,4,False,True,company_seeds_data
VLI,Serviços e Outros,4,False,True,company_seeds_data
WEG Equipamentos,Indústria,4,False,True,company_seeds_data
Zurich Brasil,Financeiro,4,False,True,company_seeds_data
