Data de Entrada,Nome da Empresa,Segmento da Empresa,Plataforma,URL,Data do Status,Status da URL
26/02/2023,Sinch,Tecnologia,Workable,https://apply.workable.com/sinch/,27/07/2023,1
26/02/2023,TakeBlip,Tecnologia,Gupy,https://takeblip.gupy.io/,27/07/2023,1
26/02/2023,TIVIT,Tecnologia,Kenoby,https://jobs.kenoby.com/tivit,27/07/2023,1
26/02/2023,Toyota Brasil,Automóvel,Kenoby,https://jobs.kenoby.com/toyota,27/07/2023,1
26/02/2023,Unimed Brasil,Saúde,Kenoby,https://jobs.kenoby.com/unimeddobrasil,27/07/2023,1
26/02/2023,Via,Varejo,Gupy,https://viavarejo.gupy.io/,27/07/2023,1
26/02/2023,Via (Corporativo),Varejo,Gupy,https://corporativovia.gupy.io/,27/07/2023,1
26/02/2023,Via (HUB),Varejo,Gupy,https://viahub.gupy.io/,27/07/2023,1
26/02/2023,Vivo,Telefonia,Gupy,https://vivo.gupy.io/,27/07/2023,1
26/02/2023,Vivo Digital,Telefonia,Gupy,https://vivodigital.gupy.io/,27/07/2023,1
26/02/2023,VR,Benefícios,Gupy,https://vr.gupy.io/,27/07/2023,1
26/02/2023,will bank,Banco,Gupy,https://vemserwill.gupy.io/,27/07/2023,1
26/02/2023,XP Inc,Banco,Greenhouse,https://boards.greenhouse.io/xpinc,27/07/2023,1
26/02/2023,Zé Delivery,Entregas,Kenoby,https://jobs.kenoby.com/zedelivery,27/07/2023,1
